Name,Price,Image URL,Product URL
Multi Vitamin Extreme (120 Kapseln),"14,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-multi-120caps-0_5iml_1.jpg",https://www.bodylab24.de/multi-vitamin-extreme-120-kapseln.html
Protein-6 - 2000g - Blaubeere,"49,90€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/5/-/5-bodylab-protein6-2kg-blueberry.jpg",https://www.bodylab24.de/bodylab24-protein-6-2000g-blaubeere.html
ZMB6 - Zinc - Magnesium - Vitamin B6 (120 Kapseln),"15,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-zmb6-120caps-0_5iml_1.jpg",https://www.bodylab24.de/zmb6-zinc-magnesium-vitamin-b6-120-kapseln.html
Melatonin (120 Tabletten),"13,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml0.5-melatonin-120tabs-st.jpg",https://www.bodylab24.de/melatonin-120-tabletten-29681.html
Whey Protein Isolat (900g),"37,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-whey-isolate-900g-basic_1.jpg",https://www.bodylab24.de/whey-protein-isolat-900g.html
Melatonin - Lemon Flavor (120 Kautabletten),"4,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml0.5-melatonin-120tabs-lemon.jpg",https://www.bodylab24.de/melatonin-lemon-flavor-120-kautabletten.html
MSM + Vitamin C (120 Tabletten),"13,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-msm-120tabs-0.5iml-3lang.png",https://www.bodylab24.de/msm-vitamin-c-120-tabletten.html
Joint Glucosamine & Chondroitin Plus (150 Tabletten),"23,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-joint-gluco-150tabs_1.jpg",https://www.bodylab24.de/joint-glucosamine-chondroitin-plus-150-tabletten.html
Pure Muscle Gainer - 2000g - Vanille,"27,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1.6-bodylab-pure-muscle-gainer-2.0kg-vanilla.png",https://www.bodylab24.de/bodylab24-pure-muscle-gainer-2000g-vanille.html
High Protein Peanut Butter Powder - 960g - Natural,"16,90€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-peanut-butter-powder-960g_1.jpg",https://www.bodylab24.de/high-protein-peanut-butter-powder-960g-natural.html
T-Stack Extreme (120 vegane Kapseln),"11,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-t-stack-extreme-vegan-120c_1.jpg",https://www.bodylab24.de/t-stack-extreme-120-vegane-kapseln.html
Weight Gainer - 5000g - Haselnuss-Kakao,"51,—€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/_/1_bodylab-weightgainer-5kg_1.jpg",https://www.bodylab24.de/weight-gainer-5000g-haselnuss-kakao.html
Creatine Creapure® Drink (500g),"37,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-creatine-creapure-fruitpunch-500g.jpg",https://www.bodylab24.de/creatine-creapurer-drink-500g.html
T-120 Hardcore (120 vegane Kapseln),"8,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-t-120-hardcore-vegan-120c.jpg",https://www.bodylab24.de/t-120-hardcore-120-vegane-kapseln.html
AAKG (120 Kapseln),"6,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-aakg-arginine-120caps-0_5iml.jpg",https://www.bodylab24.de/aakg-120-kapseln.html
Kurkuma (Turmeric) (120 Kapseln),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-kurkuma-turmeric-120caps-int-v2.jpg",https://www.bodylab24.de/kurkuma-turmeric-120-kapseln.html
Intra Workout (1800g),"53,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-intra-workout-1800g-fruit-punch_1.jpg",https://www.bodylab24.de/intra-workout-1800g.html
Whey Protein Probierbox 2 (8 Proben je 30g),"13,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/0/1/01-bodylab-sachets-8box-whey-protein-3d-2.2.jpg",https://www.bodylab24.de/sample-box-whey-protein-2-8x30g.html
Cluster Dextrin - 100% highly branched cyclic Dextrin (1000g),"14,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-cluster-dextrin-1kg.jpg",https://www.bodylab24.de/cluster-dextrin-100-highly-branched-cyclic-dextrin-1000g.html
Protein Oats Bar (12x100g),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-oatsbar-display-100g-12x-almond.jpg",https://www.bodylab24.de/protein-oats-bar-12x100g.html
Bodybuilder Stack (210 Kapseln),"25,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-bodybuilder-stack-0.5iml-210caps.jpg",https://www.bodylab24.de/bodybuilder-stack-210-kapseln.html
Creatine Monohydrate Mega Caps (400 Kapseln),"37,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-ceatine-monohydrate-mega-caps400-1_2vk-iml.jpg",https://www.bodylab24.de/creatine-monohydrate-mega-caps-400-kapseln.html
Glycopump® - 65% Glycerol (500g),"13,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-glycopump-500g-1_2vk-iml.jpg",https://www.bodylab24.de/glycopumpr-65-glycerol-500g.html
OPC (120 Kapseln),"13,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-opc-120c-0.5iml.jpg",https://www.bodylab24.de/opc-120-kapseln-32190.html
Iron + Vitamin C (Energy Boost - Immune Boost)  (120 Tabletten),"20,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iron_vitaminc-0.5iml-120tabs.jpg",https://www.bodylab24.de/iron-vitamin-c-energy-boost-immune-boost-120-tabletten.html
Protein Spread Belgian Chocolate Flavouring (330g),"7,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-protein-spread_belgian-chocolate-330g_1.jpg",https://www.bodylab24.de/protein-spread-belgian-chocolate-flavouring-330g.html
Deluxe Protein Bar (12x50g),"27,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-deluxe-bar-display-open-chocolate-peanut-caramel.jpg",https://www.bodylab24.de/deluxe-protein-bar-12x50g.html
Ashwagandha Ginseng Vitamin-B Complex (120 Kapseln),"40,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-ashwagandha-ginseng-vitamin-b-complex-120c_1.jpg",https://www.bodylab24.de/ashwagandha-ginseng-vitamin-b-complex-120-kapseln.html
BCAA Mega Caps (400 Kapseln),"37,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-bcaa-mega-caps400-1_2vk-iml.jpg",https://www.bodylab24.de/bcaa-mega-caps-400-kapseln.html
